date,open,high,low,close,volume
2006-03-09,169.72,171.11,169.17,169.17,109206.0
2006-03-10,169.82,171.65,168.9,170.37,87635.0
2006-03-13,172.04,172.84,171.45,172.82,96214.0
2006-03-14,173.07,173.16,169.71,171.1,91460.0
2006-03-15,172.59,173.4,171.95,172.28,89688.0
2006-03-16,173.27,174.29,172.2,172.66,89187.0
2006-03-17,172.1,173.81,170.59,173.48,79658.0
2006-03-20,173.36,174.81,172.64,174.26,76536.0
2006-03-21,174.31,174.47,172.61,172.87,78750.0
2006-03-22,171.52,171.53,168.67,169.28,93825.0
2006-03-23,170.81,171.7,168.09,169.68,103446.0
2006-03-24,169.61,170.86,168.47,170.86,104066.0
2006-03-27,170.41,173.06,170.36,172.44,105503.0
2006-03-28,172.14,173.17,171.48,172.77,93251.0
2006-03-29,171.12,173.55,170.46,172.96,93905.0
2006-03-30,173.78,174.32,172.77,173.61,86753.0
2006-03-31,173.61,176.37,173.35,176.21,111995.0
2006-04-03,176.45,179.22,176.36,178.89,127407.0
2006-04-04,178.92,180.23,178.21,179.77,118034.0
2006-04-05,180.28,181.03,179.26,179.97,134180.0
2006-04-06,181.13,182.42,179.88,181.1,151153.0
2006-04-07,181.19,181.97,180.34,181.97,108613.0
2006-04-10,180.86,181.94,180.42,181.31,89558.0
2006-04-11,180.88,181.19,177.84,179.61,119983.0
2006-04-12,178.23,179.19,177.69,179.13,88645.0
2006-04-13,179.11,181.91,178.75,181.91,103686.0
2006-04-14,182.55,185.95,181.88,185.67,123902.0
2006-04-17,185.95,186.21,183.5,184.3,91210.0
2006-04-18,183.35,185.84,183.28,184.9,100401.0
2006-04-19,187.4,188.06,185.91,186.34,143413.0
2006-04-20,186.59,187.39,185.41,185.86,115476.0
2006-04-21,186.67,189.18,186.15,188.2,120790.0
2006-04-24,187.71,187.71,184.72,185.41,101981.0
2006-04-25,184.84,186.94,183.93,185.54,105976.0
2006-04-26,185.89,188.34,185.49,188.34,104443.0
2006-04-27,188.8,189.29,187.51,188.4,138483.0
2006-04-28,187.1,187.1,183.23,184.1,135416.0
2006-05-02,184.13,186.19,182.64,186.17,124185.0
2006-05-03,186.92,188.61,186.02,186.03,128420.0
2006-05-04,186.23,187.09,184.67,186.98,111336.0
2006-05-08,189.44,189.79,188.32,188.79,110428.0
2006-05-09,188.75,189.99,188.04,188.51,108355.0
2006-05-10,188.33,189.18,187.3,188.62,97568.0
2006-05-11,188.25,190.2,187.65,190.2,92168.0
2006-05-12,188.06,188.79,185.22,187.27,94188.0
2006-05-15,184.41,184.42,182.07,183.08,107829.0
2006-05-16,183.32,183.39,177.85,179.0,121195.0
2006-05-17,179.72,182.04,179.71,181.69,106465.0
2006-05-18,176.26,177.47,175.79,177.18,112816.0
2006-05-19,177.13,177.95,174.58,177.94,99886.0
2006-05-22,178.42,178.43,173.55,173.6,92008.0
2006-05-23,171.66,173.49,170.57,172.78,99736.0
2006-05-24,172.38,173.69,169.32,173.36,106359.0
2006-05-25,173.23,173.28,168.28,168.33,84217.0
2006-05-26,170.99,172.44,170.52,171.83,89618.0
2006-05-29,173.31,174.21,172.41,172.64,76021.0
2006-05-30,172.59,172.79,170.15,171.01,94671.0
2006-06-01,169.84,171.2,167.93,168.03,91662.0
2006-06-02,170.38,170.67,166.68,169.85,100909.0
2006-06-05,170.81,170.81,167.93,168.83,78581.0
2006-06-07,165.23,166.12,163.78,164.17,99982.0
2006-06-08,163.22,163.65,158.11,158.11,124323.0
2006-06-09,159.92,160.23,157.32,159.61,104002.0
2006-06-12,158.91,160.07,157.31,160.05,83740.0
2006-06-13,156.95,157.43,155.12,155.43,92272.0
2006-06-14,154.15,158.94,153.89,157.7,92870.0
2006-06-15,159.07,160.04,156.43,157.36,86901.0
2006-06-16,160.87,163.41,160.81,163.05,107389.0
2006-06-19,162.11,162.89,160.45,161.79,59504.0
2006-06-20,160.88,160.93,157.81,158.48,85895.0
2006-06-21,158.91,159.38,157.21,158.63,72666.0
2006-06-22,161.15,161.43,159.69,160.2,95045.0
2006-06-23,158.5,158.95,156.54,158.88,68295.0
2006-06-26,158.73,160.43,158.02,160.18,115173.0
2006-06-27,161.18,162.2,160.75,161.36,85475.0
2006-06-28,158.61,160.19,158.11,160.18,70322.0
2006-06-29,161.31,164.09,161.31,163.3,85748.0
2006-06-30,166.96,167.6,166.48,167.45,105987.0
2006-07-03,167.34,167.83,166.07,167.33,77459.0
2006-07-04,168.64,168.81,165.98,166.15,71166.0
2006-07-05,162.85,166.29,162.71,165.51,70037.0
2006-07-06,164.3,165.18,162.17,163.47,75373.0
2006-07-07,164.79,165.36,163.88,164.7,79282.0
2006-07-10,163.64,168.3,163.01,168.27,86395.0
2006-07-11,167.77,168.68,166.83,168.45,72967.0
2006-07-12,168.82,169.89,167.24,167.93,81407.0
2006-07-13,166.19,168.3,164.65,166.35,75733.0
2006-07-14,163.11,163.11,161.22,162.33,78343.0
2006-07-18,160.45,160.88,159.39,159.69,72225.0
2006-07-19,160.06,161.25,159.34,159.76,62780.0
2006-07-20,163.85,165.15,163.33,165.11,85467.0
2006-07-21,163.46,165.04,163.29,165.0,60507.0
2006-07-24,163.27,164.53,161.52,163.93,65293.0
2006-07-25,165.8,167.22,165.79,166.25,71863.0
2006-07-26,166.88,167.08,165.82,166.1,58085.0
2006-07-27,166.28,169.03,165.85,168.52,99322.0
2006-07-28,168.03,169.23,167.98,168.54,88843.0
2006-07-31,170.81,171.12,168.51,168.51,73820.0
2006-08-01,168.35,169.82,167.01,167.14,78203.0
2006-08-02,166.46,168.27,165.86,168.27,73214.0
2006-08-03,169.29,169.61,167.39,167.94,85522.0
2006-08-04,168.49,169.83,168.49,169.68,76864.0
2006-08-07,170.21,170.25,167.57,167.61,66701.0
2006-08-08,167.81,170.68,167.8,170.68,71870.0
2006-08-09,170.17,172.08,168.77,171.11,83835.0
2006-08-10,170.6,171.08,168.02,169.44,91750.0
2006-08-11,170.51,171.24,167.6,167.65,78699.0
2006-08-14,168.11,169.43,167.12,168.19,67547.0
2006-08-16,170.43,171.58,169.74,171.01,100352.0
